Time,Size,Sex,Total
19975.80401123114,3288,F,10898
19975.80616730447,3289,F,10899
19975.82305727389,3290,F,10897
19975.842327596638,3291,F,10896
19975.84358299328,3292,F,10896
19975.856719248128,3293,F,10894
19975.860297272382,3294,F,10894
19975.882175696013,3295,F,10895
19975.905827111583,3296,F,10890
19975.92660402158,3297,F,10888
19975.968074426954,3298,F,10889
19975.974874414587,3299,F,10891
19976.00133201362,3300,F,10889
19976.00281395797,3301,F,10890
19976.02011934322,3302,F,10892
19976.040332521505,3303,F,10892
19976.049122471966,3304,F,10890
19976.055411442547,3305,F,10890
19976.073639265654,3306,F,10889
19976.083126460464,3307,F,10890
19976.083872111674,3308,F,10890
19976.108056573477,3309,F,10888
19976.126960524933,3310,F,10893
19976.17455623421,3311,F,10894
19976.190788787517,3312,F,10898
19976.203334879054,3313,F,10897
19976.216625466797,3314,F,10898
19976.244848784467,3315,F,10898
19976.257018125445,3316,F,10897
19976.263858949656,3317,F,10898
19976.267986013354,3318,F,10898
19976.29429074052,3319,F,10896
19976.301296695536,3320,F,10894
19976.3167565202,3321,F,10894
19976.318040557133,3322,F,10894
19976.31893788896,3323,F,10895
19976.322642205992,3324,F,10895
19976.334743657837,3325,F,10899
19976.345122824216,3326,F,10897
19976.352944435916,3327,F,10896
19976.358208208614,3328,F,10898
19976.424685735747,3329,F,10895
19976.42891264302,3330,F,10895
19976.432697941917,3331,F,10894
19976.43937727419,3332,F,10895
19976.4521095536,3333,F,10898
19976.47964424901,3334,F,10897
19976.5011474332,3335,F,10896
19976.551267128216,3336,F,10896
19976.559368406746,3337,F,10896
19976.589964298015,3338,F,10901
19976.593086576304,3339,F,10901
19976.59371839828,3340,F,10902
19976.620772760285,3341,F,10904
19976.65127892191,3342,F,10906
19976.679326546713,3343,F,10908
19976.69172680198,3344,F,10907
19976.697066606455,3345,F,10910
19976.71809582931,3346,F,10910
19976.736145913754,3347,F,10912
19976.80370528871,3348,F,10907
19976.839186787976,3349,F,10904
19976.85409614991,3350,F,10901
19976.856839938177,3351,F,10901
19976.87792125259,3352,F,10906
19976.906888757698,3353,F,10909
19976.91206630727,3354,F,10912
19976.914714864084,3355,F,10913
19976.9234589084,3356,F,10914
19976.9241891521,3357,F,10915
19976.925537717096,3358,F,10915
19976.92977251328,3359,F,10915
19976.938978831593,3360,F,10916
19976.94588547094,3361,F,10909
19976.954710600123,3362,F,10908
19976.960174561096,3363,F,10910
19976.974381703003,3364,F,10905
19976.98409466014,3365,F,10907
19976.984809396283,3366,F,10908
19976.994956548373,3367,F,10907
19977.02947725601,3368,F,10895
19977.0418283763,3369,F,10893
19977.052674820086,3370,F,10893
19977.070141037573,3371,F,10895
19977.074815166827,3372,F,10897
19977.07646023974,3373,F,10898
19977.084043432016,3374,F,10900
19977.088743251345,3375,F,10901
19977.115643817117,3376,F,10904
19977.119335233878,3377,F,10904
19977.128708207034,3378,F,10903
19977.142536570613,3379,F,10898
19977.227103406512,3380,F,10897
19977.233438552536,3381,F,10898
19977.23795428869,3382,F,10897
19977.32847551568,3383,F,10888
19977.340819356938,3384,F,10891
19977.341321807788,3385,F,10891
19977.379993149978,3386,F,10885
19977.395459794505,3387,F,10882
19977.40179243025,3388,F,10883
19977.410338343157,3389,F,10882
19977.429756228044,3390,F,10886
19977.47390273933,3391,F,10878
19977.478405319605,3392,F,10878
19977.491048942782,3393,F,10877
19977.529420659368,3394,F,10874
19977.53216503375,3395,F,10875
19977.594316961422,3396,F,10870
19977.61467272288,3397,F,10869
19977.62064806102,3398,F,10869
19977.62298381185,3399,F,10871
19977.636176312633,3400,F,10871
19977.64372022966,3401,F,10872
19977.675367175318,3402,F,10864
19977.67665733016,3403,F,10866
19977.68130667309,3404,F,10867
19977.69997081882,3405,F,10868
19977.70818192342,3406,F,10868
19977.709337168795,3407,F,10869
19977.75487809419,3408,F,10868
19977.76820881514,3409,F,10868
19977.772113259118,3410,F,10868
19977.81523756499,3411,F,10876
19977.82041336575,3412,F,10877
19977.823021592063,3413,F,10877
19977.835987704017,3414,F,10876
19977.844101321163,3415,F,10879
19977.84619253396,3416,F,10880
19977.870751513794,3417,F,10877
19977.882479945834,3418,F,10878
19977.900070848078,3419,F,10876
